"trick","obstacledetail","obstacle","cnt"
"manual to manual to fs shuv","pad to pad","pad",1
"nollie","bump to bump","gap",1
"nollie","flat gap","gap",1
"nollie","into bank","gap",2
"nollie","over chain","gap",1
"nollie bs 180","bump to gap","gap",1
"nollie bs heelflip","","flat",1
"nollie fs 180","bump to gap","gap",1
"nollie fs 180","over chain","gap",1
"nollie fs 180","up curb","flat",1
"nollie fs 360","over bench","gap",1
"nollie heelflip","","bank",1
"nollie heelflip","","flat",2
"nollie kickflip","","bank",1
"nollie kickflip","","flat",1
"nollie to bs tailslide","","ledge",1
"nollie to fs 5-0","","ledge",1
"nollie to fs 5050 to bs 180","bank to ledge","ledge",1
"nollie to fs noseblunt","park","transition",1
"nollie to fs nosegrind","","ledge",1
"nollie to nose manual","","pad",1
"nollie to noseblunt","into bank","ledge",1
"nose manual","","pad",4
"nose manual","angled pad","pad",1
"nose manual","into bank","pad",1
"ollie","","bank",1
"ollie","","gap",8
"ollie","","hip",1
"ollie","up curb","flat",2
"ollie","1","gap",1
"ollie","bank to gap","gap",1
"ollie","bump to bank","gap",1
"ollie","bump to bar","gap",3
"ollie","bump to bump","gap",3
"ollie","bump to can","gap",1
"ollie","bump to gap","gap",2
"ollie","channel","bank",2
"ollie","flat gap","gap",5
"ollie","into bank","gap",17
"ollie","into bank","gap",1
"ollie","into cellar door","gap",1
"ollie","over hydrant","flat",1
"ollie","over hydrant","gap",1
"ollie","over rail","gap",3
"pivot to fakie","","transition",1
"shuv","up curb","flat",1
"sw bs 180","into bank","gap",1
"sw bs 180","into hill","gap",1
"sw bs 5-0","into bank","ledge",1
"sw bs 5-0 to sw fs 180","into bank","ledge",1
"sw bs nosegrind","","ledge",3
"sw bs nosegrind","into bank","ledge",1
"sw bs tailslide","into bank","ledge",1
"sw fs 180","","flat",1
"sw fs 180","bump to gap","gap",1
"sw fs 180 to manual","into bank","pad",1
"sw fs 5050","","flat rail",1
"sw fs 5050","","handrail",1
"sw fs heelflip","flat gap","gap",1
"sw fs nosegrind","","ledge",1
"sw fs wallride","bank to wall","bank",1
"sw kickflip","","bank",1
"sw kickflip","","flat",1
"sw ollie","bump to bar","gap",1
"sw ollie","bump to bump","gap",1
"sw ollie","into bank","gap",1
"sw ollie","over hydrant","gap",1
"sw shuv","flat gap","gap",1
"sw shuv","over can","flat",1
"sw varial heelflip","flat gap","gap",1
