spot,suburb,type,obstacle,detailer,stairs,position,longitude,latitude,info,address,security,difficulty,bounty,photo
Little Viet Cafe,west end,food,banh mi,,,"-27.493749, 153.060432",-27.493749,153.060432,Best Banh Mi in Coorparoo,,,,,
Porkees Vietnamese Deli,milton,food,banh mi,,,"-27.469215, 153.008248",-27.469215,153.008248,Best Banh Mi in Milton,,,,,
Motel Over Rail,west end,street,gap,,,"-27.474910, 153.012626",-27.47491,153.012626,,,1,3,,
Dirt Pad,south brisbane,street,pad,,,"-27.481559, 153.023611",-27.481559,153.023611,,,2,2,,
Manny Mania Pad,kelvin grove,street,pad,,,"-27.453201, 153.011714",-27.453201,153.011714,,,1,3,,
Coped Ledge,south brisbane,street,ledge,,,"-27.473089, 153.016180",-27.473089,153.01618,,,1,1,,
Valley Flower Gap,fortitude valley,street,gap,,,"-27.460500, 153.036335",-27.4605,153.036335,,,1,2,,
Bankers,cbd,street,stairs,,,"-27.468715, 153.028275",-27.468715,153.028275,Capped. Gotta skate over the bumps now.,,3,4,,
Villanova Handrail,coorparoo,street,handrail,,,"-27.495032, 153.051860",-27.495032,153.05186,,,4,3,,
Hydrant Gap,cbd,street,gap,,,"-27.465794, 153.024630",-27.465794,153.02463,Bump over hydrant.,,1,2,,
Lipton Bike Pad,cbd,street,pad,,,"-27.463464, 153.031179",-27.463464,153.031179,,,0,1,,
Pig 'n' Whistle Flat Gap,cbd,street,flat gap,,,"-27.467138, 153.030867",-27.467138,153.030867,,,3,2,,
Toowong Village Car Park,toowong,street,plaza,,,"-27.483985, 152.993627",-27.483985,152.993627,,,2,1,,
Jindalee Skate Park,jindalee,park,park,,,"-27.529266, 152.947135",-27.529266,152.947135,,,0,,,
Camp Hill Marketplace,camp hill,street,plaza,,,"-27.501126, 153.076619",-27.501126,153.076619,Gotta go at night!,,3,2,,
Orleigh Park Curved Rail,west end,street,flat bar,,,"-27.488014, 152.996700",-27.488014,152.9967,,,2,4,,
Spring Hill Outledge,spring hill,street,ledge,,,,#VALUE!,#VALUE!,,,1,2,,
Jacob's Ladder Ride-On Grind,cbd,street,ledge,,,"-27.465762, 153.023645",-27.465762,153.023645,,,1,3,,
Bonjour Banh Mi,east brisbane,food,banh mi,,,"-27.479514, 153.044225",-27.479514,153.044225,,,,,,
Vic Bump To Ledge,cbd,street,ledge,,,"-27.469332, 153.029136",-27.469332,153.029136,,,2,2,,
Curved Hubbas,cbd,street,hubba,,,"-27.467151, 153.021780",-27.467151,153.02178,,,1,4,,
Buranda Drop Ledge,buranda,street,ledge,,,"-27.495087, 153.041248",-27.495087,153.041248,,,1,2,,
Buranda Over Rail,buranda,street,gap,,,"-27.495781, 153.040916",-27.495781,153.040916,,,1,4,,
