"trick","count"
"Ollie",22
"Kickflip",14
"BS Crook",12
"FS Air",12
"BS Lipslide",10
"FS Ollie",10
"BS Smith",9
"FS 5050",9
"BS 5050",8
"FS Grind",8
"FS Nosegrind",8
"Invert",8
"Lien Air",8
"BS Air",7
"BS Boardslide",7
"BS Noseblunt",7
"FS Boardslide",7
"FS Noseblunt",7
"FS Smith",7
"FS Blunt",6
"FS Kickflip",6
