"trick","count"
"Muni, PA",4
"Clipper, CA",4
"Whittier skatepark, CA",3
"Ripon skatepark, CA",3
"La Jolla High School, CA",3
"Hubba Hideout, CA",3
"EMB, CA",3
"Hollywood High, CA",3
"Brooklyn Banks, NY",3
"Wallenberg High School, CA",2
"Stanford Hubba, CA",2
"Chicago Seawall, IL",2
"Pizzey Bowl, AU",2
"China Banks, CA",2
"Love Park, CA",1
"El Toro, CA",1
"Besos Bump, ES",1
"Sunset Carwash, CA",1
