week,date,rank,skater,trick,line,switch,stance,slowmo,replayed,slam,NY,oddball,obstacle,obstacledetail,location,notes,points,video,videotype,company,ig
37,9/16/22,6,Felipe Bartolome,bs boardslide to fs tailslide,,,regular,1,,1,,,hubba,to can,,,5,Giddy 12: Perros,homie,,
37,9/16/22,5,Korahn Gayle,fakie fs kickflip to fs noseslide,1,,fakie,,,,,,ledge,,,,6,Tenor,,Skateboard Cafe,
37,9/16/22,4,Mariah Duran,bs 5050,,,regular,,,,,,hubba,, ,woman,7,Thrasher Vacation: Germany,company,Thrasher,
37,9/16/22,3,Notis Aggelis,bs crook,1,,regular,,,,,,ledge,,,5 trick line,8,Full Circle,company,Vans x Free Skate Mag,
37,9/16/22,2,Mason Silva,bs ollie,,,regular,1,1,,,,gap,channel, ,,9,Thrasher Vacation: Germany,company,Thrasher,
37,9/16/22,1,Pedro Delfino,fs 5050,,,regular,1,1,,,1,handrail,around corner, ,,10,Thrasher Vacation: Germany,company,Thrasher,
38,9/23/22,10,Taihou Tokura,fs wallride indie,1,,regular,,,,,,wall,to stairs,,,1,Timescan - Entracte,homie,,
38,9/23/22,9,TJ Rogers,bs tailslide to shuv,1,,regular,,,,,,ledge,,,,2,The Unstoppable TJ Rogers,company,eS,
38,9/23/22,8,Gus Gordon,wallie to fs crook,,,regular,1,1,1,1,,ledge,,Sombrero,,3,Bronze 56k TV - Episode 1,company,Bronze 56k,
38,9/23/22,7,Mark Humienik,fs feeble,1,,regular,,,,1,,ledge,,,6 trick line,4,Bronze 56k TV - Episode 1,company,Bronze 56k,
38,9/23/22,6,Jameel Douglas,nose manual to nollie,1,,regular,,,,1,,pad,pad to flat gap,,,5,Areth USA,homie,,
38,9/23/22,5,Cyrus Bennett,kickflip,,,regular,1,1,,,,gap,concrete skatepark,stockwell skatepark,,6,,,,1
38,9/23/22,4,Victor Campillo,bs wallride,1,,regular,,,,,,wall,,SF hills,,7,Bwren,homie,,
38,9/23/22,3,Andrew Gray,360 flip,,,regular,,,,,1,gap,into pole jam,,,8,Then Again,homie,,
38,9/23/22,2,Alexis Lacroix,shoe slide to caveman,,,regular,,,,,,flat rail,into hill,Dime Glory,,9,,,,1
38,9/23/22,1,Rowan Zorilla,bs boardslide,,,regular,,,,,,flat rail,into hill,Dime Glory,,10,,,,1
39,9/30/22,10,Brian O'Dwyer,bs smith,,,regular,1,,,,,ledge,,,,1,Spolage,homie,,
39,9/30/22,9,Jair Gravenberch,ollie to body varial,1,,regular,1,1,,,,stairs,,,quick feet,2,POP AW22 SKATEBOARDS,company,Pop Trading Co,
